Estadística de Defunciones según la Causa de Muerte
Resultados nacionales
Defunciones de menores de una semana por causas (lista perinatal),  sexo y edad.
Unidades: defunciones

;Total;Menos de 24 horas;De 1 día *;De 2 días;De 3 días;De 4 días;De 5 días;De 6 días;
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;
    Ambos sexos;31.0;21.0;6.0;2.0;2.0;0.0;0.0;0.0;
    Hombres;16.0;13.0;2.0;0.0;1.0;0.0;0.0;0.0;
    Mujeres;15.0;8.0;4.0;2.0;1.0;0.0;0.0;0.0;
06 Feto y recién nacido afectados por placenta previa;
    Ambos sexos;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;
07 Feto y recién nacido afectado por otras formas de desprendimiento y de hemorragia placentarios;
    Ambos sexos;8.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;
    Hombres;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;4.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;
08 Feto y recién nacido afectados por síndromes de transfusión placentaria y otras anormalidades morfológicas y funcionales de la placenta y las no especificadas;
    Ambos sexos;5.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;
    Hombres;3.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;
    Mujeres;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;
09 Feto y recién nacido afectados por prolapso, compresión y otras complicaciones del cordón umbilical y las no especificadas;
    Ambos sexos;3.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;
10 Feto y recién nacido afectados por complicaciones y anormalidades del corion, del amnios y las no especificadas de las membranas;
    Ambos sexos;14.0;11.0;2.0;1.0;0.0;0.0;0.0;0.0;
    Hombres;7.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;7.0;5.0;1.0;1.0;0.0;0.0;0.0;0.0;
11-12 Feto y recién nacido afectados por otras complicaciones del trabajo de parto y del parto;
    Ambos sexos;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
11 Feto y recién nacido afectados por presentación anómala, posición anómala y desproporción durante el trabajo de parto y del parto;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
12 Feto y recién nacido afectados por otras complicaciones y las no especificadas del trabajo de parto y del parto;
    Ambos sexos;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
13  Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;
    Ambos sexos;52.0;33.0;3.0;5.0;2.0;5.0;4.0;0.0;
    Hombres;26.0;16.0;1.0;3.0;2.0;2.0;2.0;0.0;
    Mujeres;26.0;17.0;2.0;2.0;0.0;3.0;2.0;0.0;
14 Retardo del crecimiento fetal y desnutrición fetal;
    Ambos sexos;11.0;1.0;1.0;2.0;2.0;3.0;2.0;0.0;
    Hombres;5.0;0.0;0.0;1.0;2.0;2.0;0.0;0.0;
    Mujeres;6.0;1.0;1.0;1.0;0.0;1.0;2.0;0.0;
15 Inmaturidad extrema y peso extremadamente bajo al nacer;
    Ambos sexos;29.0;20.0;2.0;3.0;0.0;2.0;2.0;0.0;
    Hombres;14.0;9.0;1.0;2.0;0.0;0.0;2.0;0.0;
    Mujeres;15.0;11.0;1.0;1.0;0.0;2.0;0.0;0.0;
16 Otros recién nacidos a pretérmino y peso bajo al nacer;
    Ambos sexos;12.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;7.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;
17 Trastornos relacionados con el embarazo prolongado y con sobrepeso al nacer;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
18-19 Traumatismo del nacimiento;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
18 Hemorragia y laceración intracraneal debidas a traumatismo del nacimiento;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
19 Otros traumatismos del nacimiento en otras partes y en las no especificadas;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;
    Ambos sexos;152.0;46.0;25.0;28.0;18.0;12.0;14.0;9.0;
    Hombres;89.0;24.0;17.0;15.0;14.0;6.0;9.0;4.0;
    Mujeres;63.0;22.0;8.0;13.0;4.0;6.0;5.0;5.0;
20 Hipoxia intrauterina;
    Ambos sexos;9.0;4.0;1.0;2.0;1.0;0.0;0.0;1.0;
    Hombres;5.0;2.0;0.0;1.0;1.0;0.0;0.0;1.0;
    Mujeres;4.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;
21 Asfixia del nacimiento;
    Ambos sexos;51.0;7.0;11.0;9.0;6.0;6.0;7.0;5.0;
    Hombres;28.0;2.0;8.0;5.0;5.0;3.0;4.0;1.0;
    Mujeres;23.0;5.0;3.0;4.0;1.0;3.0;3.0;4.0;
22 Dificultad respiratoria del recién nacido;
    Ambos sexos;23.0;11.0;3.0;5.0;4.0;0.0;0.0;0.0;
    Hombres;13.0;5.0;2.0;3.0;3.0;0.0;0.0;0.0;
    Mujeres;10.0;6.0;1.0;2.0;1.0;0.0;0.0;0.0;
23 Neumonía congénita;
    Ambos sexos;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;
    Hombres;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
24 Síndrome de aspiración neonatal;
    Ambos sexos;4.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;
    Hombres;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;
    Mujeres;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;
25 Enfisema intersticial y afecciones relacionadas, originadas en el periodo perinatal;
    Ambos sexos;14.0;8.0;3.0;1.0;0.0;1.0;1.0;0.0;
    Hombres;9.0;5.0;3.0;1.0;0.0;0.0;0.0;0.0;
    Mujeres;5.0;3.0;0.0;0.0;0.0;1.0;1.0;0.0;
26 Hemorragia pulmonar originada en el periodo perinatal;
    Ambos sexos;16.0;1.0;2.0;4.0;3.0;4.0;1.0;1.0;
    Hombres;10.0;0.0;1.0;2.0;2.0;3.0;1.0;1.0;
    Mujeres;6.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0;
27 Otros problemas respiratorios del recién nacido, originados en el periodo perinatal;
    Ambos sexos;11.0;5.0;3.0;0.0;1.0;1.0;1.0;0.0;
    Hombres;8.0;4.0;3.0;0.0;0.0;0.0;1.0;0.0;
    Mujeres;3.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;
28 Trastornos cardiovasculares originados en el periodo perinatal;
    Ambos sexos;23.0;8.0;1.0;7.0;1.0;0.0;4.0;2.0;
    Hombres;13.0;5.0;0.0;3.0;1.0;0.0;3.0;1.0;
    Mujeres;10.0;3.0;1.0;4.0;0.0;0.0;1.0;1.0;
29-32 Infecciones específicas del periodo perinatal;
    Ambos sexos;21.0;2.0;3.0;4.0;2.0;5.0;3.0;2.0;
    Hombres;14.0;1.0;1.0;4.0;1.0;3.0;2.0;2.0;
    Mujeres;7.0;1.0;2.0;0.0;1.0;2.0;1.0;0.0;
29 Enfermedades virales congénitas;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
30 Sepsis bacteriana del recién nacido;
    Ambos sexos;18.0;2.0;2.0;4.0;2.0;5.0;1.0;2.0;
    Hombres;13.0;1.0;1.0;4.0;1.0;3.0;1.0;2.0;
    Mujeres;5.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;
31 Onfalitis del recién nacido;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
32 Otras enfermedades infecciosas y parasitarias específicas del periodo perinatal;
    Ambos sexos;3.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;
    Hombres;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;
    Mujeres;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;
33-38 Trastornos hemorrágicos y hematológicos del feto y del recién nacido;
    Ambos sexos;43.0;10.0;3.0;12.0;7.0;4.0;4.0;3.0;
    Hombres;22.0;4.0;2.0;10.0;2.0;2.0;2.0;0.0;
    Mujeres;21.0;6.0;1.0;2.0;5.0;2.0;2.0;3.0;
33 Hemorragia intracraneal no traumática del feto y del recién nacido;
    Ambos sexos;28.0;2.0;1.0;10.0;6.0;4.0;3.0;2.0;
    Hombres;15.0;1.0;1.0;8.0;1.0;2.0;2.0;0.0;
    Mujeres;13.0;1.0;0.0;2.0;5.0;2.0;1.0;2.0;
34 Otras hemorragias neonatales y las no especificadas;
    Ambos sexos;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
35 Enfermedad hemolítica del feto y del recién nacido;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
36 Ictericia neonatal debida a otras hemólisis y por otras causas y las no especificadas;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
37 Coagulación intravascular diseminada en el feto y en el recién nacido;
    Ambos sexos;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
38 Otros trastornos hematológicos perinatales;
    Ambos sexos;13.0;7.0;1.0;2.0;1.0;0.0;1.0;1.0;
    Hombres;6.0;3.0;0.0;2.0;1.0;0.0;0.0;0.0;
    Mujeres;7.0;4.0;1.0;0.0;0.0;0.0;1.0;1.0;
39-42 Trastornos endocrinos y metabólicos transitorios específicos del feto y del recién nacido;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
39 Síndrome del recién nacido de madre diabética;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
40 Diabetes mellitus neonatal;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
41 Hipertiroidismo neonatal transitorio;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
42 Otras alteraciones metabólicas y electrolíticas neonatales transitorias y las no especificadas;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
43-45 Trastornos del sistema digestivo del feto y del recién nacido;
    Ambos sexos;6.0;1.0;0.0;0.0;1.0;2.0;1.0;1.0;
    Hombres;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;
    Mujeres;4.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;
43 Otras obstrucciones intestinales del recién nacido;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
44 Enterocolitis necrotizante del feto y del recién nacido;
    Ambos sexos;3.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;
    Hombres;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;
    Mujeres;2.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;
45 Otros trastornos perinatales del sistema digestivo;
    Ambos sexos;3.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;
    Hombres;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;
    Mujeres;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;
46-48 Afecciones asociadas con la regulación tegumentaria y la temperatura del feto y del recién nacido;
    Ambos sexos;9.0;6.0;0.0;1.0;0.0;1.0;1.0;0.0;
    Hombres;5.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;
    Mujeres;4.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;
46 Alteraciones de la regulación de la temperatura en el recién nacido;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
47 Hidropesía fetal no debida a enfermedad hemolítica;
    Ambos sexos;9.0;6.0;0.0;1.0;0.0;1.0;1.0;0.0;
    Hombres;5.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;
    Mujeres;4.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;
48 Otras afecciones de la piel específicas del feto y del recién nacido;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
49  Otros trastornos originados en el periodo perinatal;
    Ambos sexos;30.0;13.0;2.0;6.0;5.0;1.0;3.0;0.0;
    Hombres;16.0;7.0;1.0;3.0;3.0;0.0;2.0;0.0;
    Mujeres;14.0;6.0;1.0;3.0;2.0;1.0;1.0;0.0;
50-82 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;
    Ambos sexos;86.0;40.0;10.0;6.0;7.0;11.0;4.0;8.0;
    Hombres;51.0;25.0;7.0;3.0;4.0;7.0;2.0;3.0;
    Mujeres;35.0;15.0;3.0;3.0;3.0;4.0;2.0;5.0;
50-57 Malformaciones congénitas del sistema nervioso;
    Ambos sexos;7.0;4.0;0.0;1.0;0.0;1.0;1.0;0.0;
    Hombres;4.0;2.0;0.0;1.0;0.0;0.0;1.0;0.0;
    Mujeres;3.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;
50 Anencefalia y malformaciones congénitas similares;
    Ambos sexos;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
51 Encefalocele;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
52 Microcefalia;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
53 Hidrocéfalo congénito;
    Ambos sexos;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;
    Hombres;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
54 Otras malformaciones congénitas del encéfalo;
    Ambos sexos;3.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;
    Hombres;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;
    Mujeres;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;
55 Espina bífida;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
56 Otras malformaciones congénitas de la médula espinal;
    Ambos sexos;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
57 Otras malformaciones congénitas del sistema nervioso;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
58  Malformaciones congénitas del ojo, del oído, de la cara y del cuello;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
59-63 Malformaciones congénitas del sistema circulatorio;
    Ambos sexos;24.0;9.0;0.0;2.0;4.0;4.0;1.0;4.0;
    Hombres;14.0;5.0;0.0;2.0;2.0;2.0;1.0;2.0;
    Mujeres;10.0;4.0;0.0;0.0;2.0;2.0;0.0;2.0;
59 Malformaciones congénitas de las cámaras y de los tabiques cardíacos y sus conexiones;
    Ambos sexos;4.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;
    Hombres;4.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
60 Malformaciones congénitas de las válvulas cardíacas;
    Ambos sexos;3.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;
    Hombres;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;
61 Otras malformaciones congénitas del corazón;
    Ambos sexos;10.0;6.0;0.0;0.0;2.0;1.0;0.0;1.0;
    Hombres;5.0;3.0;0.0;0.0;1.0;0.0;0.0;1.0;
    Mujeres;5.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;
62 Malformaciones congénitas de las grandes arterias y venas y del sistema vascular periférico;
    Ambos sexos;7.0;0.0;0.0;1.0;2.0;1.0;0.0;3.0;
    Hombres;4.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;
    Mujeres;3.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;
63 Otras malformaciones congénitas del sistema circulatorio;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
64-66 Malformaciones congénitas del sistema respiratorio;
    Ambos sexos;8.0;2.0;2.0;1.0;1.0;1.0;0.0;1.0;
    Hombres;4.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;
    Mujeres;4.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;
64 Malformaciones congénitas de nariz, laringe, tráquea y bronquios;
    Ambos sexos;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
65 Malformaciones congénitas del pulmón;
    Ambos sexos;7.0;1.0;2.0;1.0;1.0;1.0;0.0;1.0;
    Hombres;4.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;
    Mujeres;3.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;
66 Otras malformaciones congénitas del sistema respiratorio;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
67  Fisura del paladar y labio leporino;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
68-70 Otras malformaciones congénitas del sistema digestivo;
    Ambos sexos;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;
    Hombres;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
68 Malformaciones congénitas de la lengua, boca, faringe, esófago y estómago;
    Ambos sexos;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;
    Hombres;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
69 Malformaciones congénitas del intestino;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
70 Otras malformaciones congénitas del sistema digestivo;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
71  Malformaciones congénitas de los órganos genitales;
    Ambos sexos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
72-76 Malformaciones congénitas del sistema urinario;
    Ambos sexos;9.0;7.0;1.0;0.0;0.0;1.0;0.0;0.0;
    Hombres;7.0;5.0;1.0;0.0;0.0;1.0;0.0;0.0;
    Mujeres;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;
72 Agenesia renal y otras malformaciones hipoplásicas del riñón;
    Ambos sexos;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;
73 Enfermedad quística del riñón;
    Ambos sexos;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
74 Defectos obstructivos congénitos de la pelvis renal y malformaciones congénitas del uréter;
